Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
Cozy Grove,True,Cozy Grove,73.2,100.49,140.37,104.56,75.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Cozy Grove
Crashlands,True,Crashlands,28.27,45.43,76.29,44.09,72.0,"Mobile, Nintendo Switch, PC",2016.0,1.0,1.0,Crashlands
Creature in the Well,True,Creature in the Well,4.24,5.76,6.26,5.79,73.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Creature in the Well
Crime Boss: Rockay City - Cagnali's Order,False,,,,,,,,,,,
Crime Boss: Rockay City - Dragon's Gold Cup,False,,,,,,,,,,,
Crime Boss: Rockay City - Heavy Hitters Pack,False,,,,,,,,,,,
Crime Boss: Rockay City - Tactical Weapon Pack,False,,,,,,,,,,,
Cris Tales,True,Cris Tales,22.2,25.72,31.26,26.42,66.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Cris Tales
Crying Suns,True,Crying Suns,14.81,21.57,45.15,17.64,68.0,"Mobile, Nintendo Switch, PC",2019.0,1.0,1.0,Crying Suns
Cultist Simulator,True,Cultist Simulator,19.37,40.2,109.73,31.49,65.0,"Mobile, Nintendo Switch, PC",2018.0,1.0,1.0,Cultist Simulator
Cursed to Golf,True,Cursed to Golf,6.45,7.12,10.17,7.5,68.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Cursed to Golf
DAEMON X MACHINA,True,Daemon X Machina,15.2,22.29,52.54,19.65,63.0,"Nintendo Switch, PC",2019.0,1.0,1.0,DAEMON X MACHINA
DARQ: Complete Edition,True,DARQ,2.1,3.46,4.53,2.82,73.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,0.99,DARQ: Complete Edition
DC Heroes United’s - Super Power Batman Bundle DLC,False,,,,,,,,,,,
DEATH STRANDING,True,Death Stranding,40.5,60.04,112.8,57.71,85.0,"PC, PlayStation 4",2019.0,1.0,1.0,DEATH STRANDING
DEATH STRANDING Director's Cut,True,Death Stranding: Director's Cut,38.15,59.15,111.21,58.95,86.0,"Amazon Luna, Mobile, PC, PlayStation 5, Xbox Series X/S",2021.0,0.9836065573770492,1.0,DEATH STRANDING Director's Cut
DEMON'S TILT,True,DEMON'S TILT,5.42,12.49,14.71,7.12,68.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,DEMON'S TILT
DNF Duel,True,DNF Duel,1.62,14.56,113.36,4.76,68.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",2022.0,1.0,1.0,DNF Duel
DOOM 64,True,Doom 64,7.15,9.21,10.55,8.35,75.0,"Google Stadia, Nintendo 64, Nintendo Switch, PC, PlayStation 4, Xbox One",1997.0,1.0,1.0,DOOM 64
DOOMBLADE,True,DOOMBLADE,10.83,13.2,16.62,13.88,72.0,PC,2023.0,1.0,1.0,DOOMBLADE
Dakar Desert Rally,True,Dakar Desert Rally,19.33,57.75,0.0,28.9,64.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Dakar Desert Rally
Dandara: Trials of Fear Edition,True,Dandara,6.87,9.36,12.93,8.78,73.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,0.5961538461538461,0.99,Dandara: Trials of Fear Edition
Dark Deity,True,Dark Deity,23.01,31.2,37.15,27.74,66.0,"Nintendo Switch, PC",2021.0,1.0,1.0,Dark Deity
Dark and Darker - Legendary Status,False,,,,,,,,,,,
Darkest Dungeon,True,Darkest Dungeon,56.63,85.2,128.3,80.12,79.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",2016.0,1.0,1.0,Darkest Dungeon
Darksiders Fury's Collection,False,,,,,,,,,,,
Darksiders II: Deathinitive Edition,True,Darksiders II: Deathinitive Edition,19.83,29.76,52.94,27.85,76.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2015.0,1.0,1.0,Darksiders II: Deathinitive Edition
Darkwood,True,Darkwood,18.35,26.9,40.91,24.44,81.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Darkwood
Dauntless - Epic Slayer Kit,False,,,,,,,,,,,
Dead Cells,True,Dead Cells,14.07,32.01,90.96,21.78,82.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One",2018.0,1.0,1.0,Dead Cells
Dead Island 2,True,Dead Island 2,16.12,26.63,39.01,23.94,73.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Dead Island 2
Dead by Daylight,True,Dead by Daylight,78.64,356.32,763.43,315.74,68.0,"Google Stadia, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2016.0,1.0,1.0,Dead by Daylight
Deadtime Defenders,True,Deadtime Defenders,1.72,4.27,0.0,2.13,61.0,PC,2020.0,1.0,1.0,Deadtime Defenders
Death Coming,True,Death Coming,4.06,6.31,10.63,5.07,64.0,"Nintendo Switch, PC",2017.0,1.0,1.0,Death Coming
Death's Gambit: Afterlife,True,Death's Gambit: Afterlife,14.35,20.26,42.43,19.26,76.0,"Nintendo Switch, PC, PlayStation 4, Xbox Series X/S",2018.0,1.0,1.0,Death's Gambit: Afterlife
Deathloop,True,Deathloop,16.38,24.48,35.95,23.08,77.0,"PC, PlayStation 5, Xbox Series X/S",2021.0,1.0,1.0,Deathloop
Deceive Inc.,True,Deceive Inc.,10.05,0.0,70.37,35.5,61.0,"PC, PlayStation 5, Xbox Series X/S",2023.0,1.0,1.0,Deceive Inc.
Defense Grid: The Awakening,True,Defense Grid: The Awakening,11.31,29.05,103.72,21.84,76.0,"PC, Xbox 360, Xbox One",2008.0,1.0,1.0,Defense Grid: The Awakening
Definitely Not Fried Chicken,True,Definitely Not Fried Chicken,0.0,0.0,24.92,24.92,65.0,PC,2023.0,1.0,1.0,Definitely Not Fried Chicken
Deliver At All Cost,False,,,,,,,,,,,
Deliver Us Mars,True,Deliver Us Mars,8.18,9.24,11.04,9.07,70.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Deliver Us Mars
Deponia: The Complete Journey,True,Deponia: The Complete Journey,26.3,33.25,35.31,30.96,76.0,PC,2014.0,1.0,1.0,Deponia: The Complete Journey
Destiny 2: Beyond Light,False,,,,,,,,,,,
Destiny 2: Bungie 30th Anniversary Pack,False,,,,,,,,,,,
Destiny 2: Legacy Collection,False,,,,,,,,,,,
Destiny 2: Shadowkeep,False,,,,,,,,,,,
Deus Ex: Mankind Divided,True,Deus Ex: Mankind Divided,15.95,31.01,52.87,30.07,78.0,"Linux, Mac, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Deus Ex: Mankind Divided
Disco Elysium: The Final Cut,True,Disco Elysium,23.73,33.13,48.08,32.03,89.0,"Google Stadia, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,0.96,Disco Elysium: The Final Cut
Dishonored - Definitive Edition,True,Dishonored: Definitive Edition,12.15,22.03,46.74,19.77,84.0,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2013.0,0.5,1.0,Dishonored
