title,from_date,giveaway_year,is_repeat,is_standalone_game,egs_meets_threshold,egs_original_price_usd,egs_publisher,egs_tags,mc_criticScore,hltb_main_story
Songs of Silence,2025-11-13,2025,False,True,True,29.99,Chimera Entertainment GmbH,"Turn-Based Strategy, Online Multiplayer, Diverse Characters, RELAXING, Cloud Saves, Fantasy, Achievements, Windows, Controller Support, Beautiful Visuals, Indie, Co-op, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Great for Beginners",81.0,12.82
Zero Hour,2025-11-13,2025,False,True,True,9.99,AttritoM7 Productions,"Online Multiplayer, Competitive Community, Cloud Saves, Challenging Combat, Windows, First Person, Realistic Visuals, Co-op, Recommend this Game, Competitive, Amazing Storytelling, Extremely Fun, Shooter, Single Player, Quickly Understand the Controls",,14.36
Idle Champions of the Forgotten Realms - Nixie's Champions of Renown Pack,2025-11-06,2025,False,False,False,,,,,
Felix The Reaper,2025-11-06,2025,False,True,True,9.99,Daedalic Entertainment,"Puzzle, Cloud Saves, Achievements, Single Player, Windows, Controller Support, Challenging Puzzles, Indie, Mac OS",67.0,4.89
Idle Champions of the Forgotten Realms - Nixie's Champions of Renown Pack,2025-11-06,2025,False,False,False,,,,,
Bendy and the Ink Machine,2025-10-30,2025,False,True,True,19.99,Joey Drew Studios Inc.,"Horror, Diverse Characters, Cloud Saves, Achievements, Windows, Controller Support, First Person, Indie, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Great for Beginners",71.0,4.58
Bendy and the Ink Machine,2025-10-30,2025,False,True,True,19.99,Joey Drew Studios Inc.,"Horror, Diverse Characters, Cloud Saves, Achievements, Windows, Controller Support, First Person, Indie, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Great for Beginners",71.0,4.58
Five Nights at Freddy's: Into the Pit,2025-10-30,2025,False,True,True,19.99,Mega Cat Studios,"Horror, Diverse Characters, Cloud Saves, Achievements, Windows, Controller Support, Retro, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Survival, Single Player, Quickly Understand the Controls, Great for Beginners",87.0,4.16
Doodle Farm: Breeds and Beasts,2025-10-23,2025,False,True,False,,,,,
Fear the Spotlight,2025-10-23,2025,False,True,True,19.99,Blumhouse Games,"Horror, Puzzle, Cloud Saves, Achievements, Single Player, Windows, Adventure, Controller Support, Mac OS",83.0,3.6
Samorost 3,2025-10-16,2025,False,True,True,19.99,Amanita Design s.r.o.,"Puzzle, Cloud Saves, Achievements, Single Player, Windows, Adventure, Indie",80.0,4.64
Amnesia: The Bunker,2025-10-16,2025,False,True,True,24.99,Frictional Games,"Horror, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Action-Adventure, Challenging Combat, Single Player, Windows, Controller Support, Quickly Understand the Controls, First Person",77.0,5.45
Samorost 3,2025-10-16,2025,False,True,True,19.99,Amanita Design s.r.o.,"Puzzle, Cloud Saves, Achievements, Single Player, Windows, Adventure, Indie",80.0,4.64
Double Dragon Trilogy,2025-10-09,2025,False,True,False,,,,,1.98
Albion Online - Rogue Journeyman Bundle,2025-10-09,2025,False,False,False,,,,72.0,
Gravity Circuit,2025-10-09,2025,False,True,True,16.99,Plug In Digital SAS,"Action, Diverse Characters, Challenging Combat, Windows, Indie, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Single Player, Quickly Understand the Controls, Platformer",89.0,4.89
Doodle Devil: Dark Side,2025-10-02,2025,False,True,False,,,,,
Firestone Online Idle RPG - Special Offer,2025-10-02,2025,False,False,False,,,,,
Nightingale,2025-10-02,2025,False,True,True,29.99,Inflexion Games,"Online Multiplayer, Diverse Characters, RELAXING, Gift A Game, Creative Community, Windows, Beautiful Visuals, Co-op, Unique Visuals, Recommend this Game, Amazing Storytelling, Extremely Fun, Survival, Single Player, Open World, Quickly Understand the Controls, EARLY ACCESS, Great for Beginners",,26.38
